struct_idx	county	phillimore	cobs_1086	cobs_1066	cattle_1086	cattle_1066	cows_1086	cows_1066	pigs_1086	pigs_1066	sheep_1086	sheep_1066	goats_1086	goats_1066	beehives_1086	beehives_1066	wild_mares_1086	wild_mares_1066	other_1086	other_code_1086	other_1066	other_code_1066
3678	SOM	"1,3"			2						100		
3679	SOM	"1,4"	2				1		12		63		
3680	SOM	"1,5"	1		8				11		64		
3681	SOM	"1,6"	2						11		350		
3682	SOM	"1,7"	1		9				22		115		
3683	SOM	"1,8"							24		93		
3684	SOM	"1,9"									80		13
3685	SOM	"1,10"	2						22		153		
3686	SOM	"1,11"			4				9		30		7							
3687	SOM	"1,12"			6						30									
3688	SOM	"1,13"	1						14				50						300	wethers
3689	SOM	"1,14"	1																	
3690	SOM	"1,15"			4						50									
3691	SOM	"1,16"	1		3				10		30		18							
3692	SOM	"1,17"									52									
3693	SOM	"1,18"	1		10				10		48									
3694	SOM	"1,19"	1		20				20		100									
3695	SOM	"1,20"	2		9				40		400		64							
3696	SOM	"1,21"	2		20				40		200		40							
3697	SOM	"1,22"	1		12				20		300									
3698	SOM	"1,23"	1		3				20		150		48							
3699	SOM	"1,24"	1		5						100									
3700	SOM	"1,25"	3				1		22										438	wethers
3702	SOM	"1,26"	1								40		11							
3703	SOM	"1,27"	2		23				36		284		
3704	SOM	"1,28"	4		20				63		1034		80
3705	SOM	"1,29"	1						35		800		50
3706	SOM	"1,30"									150		24
3709	SOM	"1,32"	1						4		150		
3846	SOM	"8,8"							6				
3847	SOM	"8,9"	1		30				24		84		
3848	SOM	"8,10"	5		8						200		
3849	SOM	"8,11"	2		10				18		100		30
3850	SOM	"8,12"			4				2				
3851	SOM	"8,13"	2						9				
3852	SOM	"8,14"	1				2		7		42		8
3853	SOM	"8,15"			4				6				
3854	SOM	"8,16"	2		8				20		55		
3855	SOM	"8,17"	2		17				10		150		
3856	SOM	"8,18"	3		12				25		180		
3858	SOM	"8,20"	4		35				56		500		42
3859	SOM	"8,21"	2		42				25		55		
3860	SOM	"8,22"	2		16				14				33
3861	SOM	"8,23"	1		4				15		340		
3862	SOM	"8,24"	4		19				21		250		17
3863	SOM	"8,25"	1		7				15		91		
3864	SOM	"8,26"			8						100		
3865	SOM	"8,27"			46				30		278		47
3866	SOM	"8,28"	1		22				12		50		
3867	SOM	"8,29"	1						29		85		
3868	SOM	"8,30"	2		12				20		123		23
3869	SOM	"8,31"	1						13		154		
3870	SOM	"8,32"	1										16
3871	SOM	"8,33"	1		73				60		82		
3872	SOM	"8,34"	1		15				5		5		
3881	SOM	"9,1"	1		21				6				30
3883	SOM	"9,3"	2		27				33		40		
3884	SOM	"9,4"	1		25				15		60		
3886	SOM	"9,6"	3						22		107		
3887	SOM	"9,7"	2		4		7		1		191		
3888	SOM	"9,8"			5				9		25		
3890	SOM	"10,1"	2		6				10		40		
3891	SOM	"10,2"			14				17		182		
3892	SOM	"10,3"	1						9		40		
3893	SOM	"10,4"			2								
3894	SOM	"10,5"	1		2				10		30		
3897	SOM	"11,1"					2				60		
3899	SOM	"12,1"	2		5				14		175		
3901	SOM	"13,1"							10		60		18
4069	SOM	"21,42"									40		
4071	SOM	"21,44"			2				3		10		8
4072	SOM	"21,45"							2		15		
4074	SOM	"21,47"	2		9				7		53		74
4076	SOM	"21,49"									26		
4077	SOM	"21,50"			3				12		13		13
4081	SOM	"21,54"							6				2
4082	SOM	"21,55"	1						7				
4083	SOM	"21,56"	1		6						47		27
4085	SOM	"21,58"									5		
4086	SOM	"21,59"			4				3		40		10
4087	SOM	"21,60"			5				7		20		20
4089	SOM	"21,62"							1		8		4
4090	SOM	"21,63"	1										
4091	SOM	"21,64"			2				1		11		11
4097	SOM	"21,70"			2				15		40		30
4098	SOM	"21,71"					5		3		10		
4099	SOM	"21,72"	2		11				9		120		
4100	SOM	"21,73"	1		5				7				
4105	SOM	"21,78"					1		16		20
4106	SOM	"21,79"					1				36
4108	SOM	"21,81"							14		62
4109	SOM	"21,82"					2		14		50
4115	SOM	"21,88"							3		
4116	SOM	"21,89"	1						12		120
4117	SOM	"21,90"			5						
4119	SOM	"21,92"							18		
4120	SOM	"21,93"	1				3		20		80
4121	SOM	"21,94"							5		20
4122	SOM	"21,95"							4		15
4123	SOM	"21,96"	1						6		60
4127	SOM	"22,1"					1		7		40
4128	SOM	"22,2"			3						100
4129	SOM	"22,3"			4				9		44
4130	SOM	"22,4"			7						
4131	SOM	"22,5"			11				23				
4132	SOM	"22,6"									20		
4134	SOM	"22,8"			12				11		60		14
4136	SOM	"22,10"			2				12		60		
4137	SOM	"22,11"			10						150		
4138	SOM	"22,12"			3				3		30		20
4139	SOM	"22,13"			4				9		48		5
4140	SOM	"22,14"									30		10
4141	SOM	"22,15"	1						16		50		
4143	SOM	"22,17"			2						10		
4144	SOM	"22,18"			10				9				
4145	SOM	"22,19"	1						14		15		
