place_id	struct_idx	sub_idx	county	phillimore	area	hundred	std_hundred	vill	std_vill	grid	m_type	holding	units	waste_86	places_idx	phillimore_with_new_yks	county_name	country
140850	12668	1	CHS	"12,4"		Rushton	Rushton	Wardle	Wardle	SJ6057	[M]	0.5	geld	N	67366	"12,4"		UK
140870	12670	1	CHS	"13,1"		Willaston	Willaston	Puddington	Puddington	SJ3273	[M]	2.5	geld	N	50366	"13,1"		UK
140880	12671	1	CHS	"13,2"		Bucklow	Bucklow	Dunham [Massey]	Dunham Massey	SJ7488	[M]	1	geld	N	21416	"13,2"		UK
140890	12672	1	CHS	"13,3"		{Tunendune}	Tunendune	Bowdon	Bowdon	SJ7586	[M]	1	geld	N	8566	"13,3"		UK
140900	12673	1	CHS	"13,4"		{Tunendune}	Tunendune	Hale	Hale	SJ7786	[M]	1	geld	N	28486	"13,4"		UK
140910	12674	1	CHS	"13,5"		{Hamestan}	Hamestan	Bramhall	Bramhall	SJ8984	[M]	1	geld	N	9176	"13,5"		UK
140920	12675	1	CHS	"13,6"		Bucklow	Bucklow	Ashley	Ashley	SJ7784	[M]	0.25	geld	Y	2671	"13,6"		UK
140930	12676	1	CHS	"13,7"		{Tunendune}	Tunendune	`Alretunstall'	Alretunstall	SJ7888	[M]	0.37	geld	Y	1311	"13,7"		UK
140950	12678	1	CHS	"14,1"		`Duddeston'	Duddeston	Farndon	Farndon	SJ4154	[M]	4	geld	N	24396	"14,1"		UK
140960	12679	1	CHS	"14,2"		`Duddeston'	Duddeston	Lea [Newbold]	Lea Newbold	SJ4359	[M]	1	geld	N	38261	"14,2"		UK
